original,normalized_binomial,japanese
"Mythimna postica (Hampson, 1905)",Mythimna postica,アカスジキヨトウ
"Sideridis incommoda (Staudinger, 1888)",Sideridis incommoda,アサギリヨトウ
"Xestia descripta (Bremer, 1861)",Xestia descripta,アサマウスモンヤガ
"Actebia fennica (Tauscher, 1806)",Actebia fennica,アトウスヤガ
"Xestia sincera (Herrich-Schäffer, 1851)",Xestia sincera,アトジロアルプスヤガ
"Mythimna compta (Moore, 1881)",Mythimna compta,アトジロキヨトウ
"Mythimna inouei (Sugi, 1965)",Mythimna inouei,アマミキヨトウ
"Xestia speciosa (Hübner, 1813)",Xestia speciosa,アルプスヤガ
"Mythimna separata (Walker, 1865)",Mythimna separata,アワヨトウ
"Mythimna curvilinea (Hampson, 1891)",Mythimna curvilinea,ウスアカキヨトウ
"Mythimna inanis (Oberthür, 1880)",Mythimna inanis,ウスイロキヨトウ
"Mythimna pudorina (Denis & Schiffermüller, 1775)",Mythimna pudorina,ウスベニキヨトウ
"Diarsia dahlii (Hübner, 1813)",Diarsia dahlii,エゾオオバコヤガ
"Lacanobia splendens (Hübner, 1808)",Lacanobia splendens,エゾチャイロヨトウ
"Euxoa ochrogaster (Guenée, 1852)",Euxoa ochrogaster,オオウスクモヨトウ
,,
