file,row,record_id,plant_name,filled_family
public/hostplants.csv,85,hostplant-000079,モミジイチゴ,バラ科
public/hostplants.csv,86,hostplant-000080,フユイチゴ,バラ科
public/hostplants.csv,89,hostplant-000083,モミジイチゴ,バラ科
public/hostplants.csv,91,hostplant-000085,オヒョウ,ニレ科
public/hostplants.csv,104,hostplant-000098,アカガシ,ブナ科
public/hostplants.csv,133,hostplant-000127,ノブドウ,ブドウ科
public/hostplants.csv,149,hostplant-000143,ヤマアジサイ,アジサイ科
public/hostplants.csv,187,hostplant-000181,アベマキ,ブナ科
public/hostplants.csv,195,hostplant-000189,ノイバラ,バラ科
public/hostplants.csv,199,hostplant-000193,クマイチゴ,バラ科
public/hostplants.csv,202,hostplant-000196,キンミズヒキ,バラ科
public/hostplants.csv,217,hostplant-000211,シイタケ,キシメジ科
public/hostplants.csv,220,hostplant-000214,シイタケ,キシメジ科
public/hostplants.csv,224,hostplant-000218,リョウメンシダ,オシダ科
public/hostplants.csv,268,hostplant-000263,ヤブニッケイ,クスノキ科
public/hostplants.csv,280,hostplant-000276,ハブソウ,マメ科
public/hostplants.csv,281,hostplant-000277,ナンバンサイカチ,マメ科
public/hostplants.csv,286,hostplant-000282,ホウオウボク,マメ科
public/hostplants.csv,312,hostplant-000309,ギシギシ,タデ科
public/hostplants.csv,330,hostplant-000328,エゾノウワミズザクラ,バラ科
public/hostplants.csv,335,hostplant-000333,ズミ,バラ科
public/hostplants.csv,336,hostplant-000334,エゾノコリンゴ,バラ科
public/hostplants.csv,370,hostplant-000368,ツルウメモドキ,ニシキギ科
public/hostplants.csv,384,hostplant-000382,ズミ,バラ科
public/hostplants.csv,388,hostplant-000386,ズミ,バラ科
public/hostplants.csv,417,hostplant-000415,ヤマノイモ,ヤマノイモ科
public/hostplants.csv,420,hostplant-000418,ズミ,バラ科
public/hostplants.csv,424,hostplant-000422,ウラジロガシ,ブナ科
public/hostplants.csv,429,hostplant-000427,ツクバネウツギ,スイカズラ科
public/hostplants.csv,436,hostplant-000434,コマユミ,ニシキギ科
public/hostplants.csv,448,hostplant-000446,タネツケバナ,アブラナ科
public/hostplants.csv,450,hostplant-000448,アブラナ,アブラナ科
public/hostplants.csv,457,hostplant-000455,コマツナ,アブラナ科
public/hostplants.csv,459,hostplant-000457,ハクサイ,アブラナ科
public/hostplants.csv,466,hostplant-000464,フヨウ,アオイ科
public/hostplants.csv,467,hostplant-000465,タチアオイ,アオイ科
public/hostplants.csv,468,hostplant-000466,ヤナギ類,ヤナギ科
public/hostplants.csv,469,hostplant-000467,ポプラ類,ヤナギ科
public/hostplants.csv,470,hostplant-000468,ヤナギ類,ヤナギ科
public/hostplants.csv,471,hostplant-000469,ポプラ類,ヤナギ科
public/hostplants.csv,472,hostplant-000470,ヤナギ類,ヤナギ科
public/hostplants.csv,473,hostplant-000471,ポプラ類,ヤナギ科
public/hostplants.csv,474,hostplant-000472,ヤナギ類,ヤナギ科
public/hostplants.csv,475,hostplant-000473,ポプラ類,ヤナギ科
public/hostplants.csv,617,hostplant-000617,サワシバ,カバノキ科
public/hostplants.csv,620,hostplant-000622,カマツカ,バラ科
public/hostplants.csv,621,hostplant-000623,ノグルミ,クルミ科
public/hostplants.csv,627,hostplant-000631,ダケカンバ,カバノキ科
public/hostplants.csv,629,hostplant-000633,ブナ,ブナ科
public/hostplants.csv,630,hostplant-000634,イヌブナ,ブナ科
public/hostplants.csv,632,hostplant-000638,ダケカンバ,カバノキ科
public/hostplants.csv,636,hostplant-000643,ヤシャブシ,カバノキ科
public/hostplants.csv,640,hostplant-000647,ダケカンバ,カバノキ科
public/hostplants.csv,641,hostplant-000648,ウダイカンバ,カバノキ科
public/hostplants.csv,643,hostplant-000651,アカガシ,ブナ科
public/hostplants.csv,648,hostplant-000656,アベマキ,ブナ科
public/hostplants.csv,649,hostplant-000657,スダジイ,ブナ科
public/hostplants.csv,650,hostplant-000658,ヌルデ,ウルシ科
public/hostplants.csv,652,hostplant-000660,ヤマウルシ,ウルシ科
public/hostplants.csv,659,hostplant-000669,クマノミズキ,ミズキ科
public/hostplants.csv,664,hostplant-000676,クマノミズキ,ミズキ科
public/hostplants.csv,666,hostplant-000679,クマノミズキ,ミズキ科
public/hostplants.csv,669,hostplant-000682,ウラジロガシ,ブナ科
public/hostplants.csv,674,hostplant-000687,ズミ,バラ科
public/hostplants.csv,702,hostplant-000719,モミジイチゴ,バラ科
public/hostplants.csv,703,hostplant-000720,エビガライチゴ,バラ科
public/hostplants.csv,709,hostplant-000727,コゴメウツギ,バラ科
public/hostplants.csv,714,hostplant-000734,クサイチゴ,バラ科
public/hostplants.csv,715,hostplant-000735,フユイチゴ,バラ科
public/hostplants.csv,716,hostplant-000736,モミジイチゴ,バラ科
public/hostplants.csv,719,hostplant-000740,クマシデ,カバノキ科
public/hostplants.csv,729,hostplant-000753,ソメイヨシノ,バラ科
public/hostplants.csv,737,hostplant-000763,アカガシ,ブナ科
public/hostplants.csv,741,hostplant-000768,アカガシ,ブナ科
public/hostplants.csv,748,hostplant-000776,シラカンバ,カバノキ科
public/hostplants.csv,785,hostplant-000822,アカネ科,アカネ科
