和名,学名,成虫時期,生態の備考
コブウスチャヒメシャク,Perixera illepidaria (Guenée, 1857),未詳,国外では台湾からインドにかけて分布する。
シロヒメシャク,Scopula nivearia (Leech, 1897),7-8月,北海道の東部で7-8月に少数が得られているだけで、非常にまれな種。
ハングロナミシャク,Xanthorhoe semilactescens Inoue, 1982,"年2化、4-5月、8月",関東地方周辺でも採れるが、東海地方以西に産地が多く見られる。年2化と思われる。
フタトビスジナミシャク,Xanthorhoe hortensiaria (Graeser, 1889),"年2化、3月下旬-8月",全国的に平地から山地まで広く産し、各地で多産する。関東地方周辺の平地では3月下旬から出始め、4-6月と7-8月に出現し、年2化と思われる。
マダラヒゲブトナミシャク,Episteira eupena (Prout, 1936),"7-8月",本州での北限は千葉県清澄山とされ、各地とも個体数は少なく非常にまれである。本州では7-8月に採れているが、九州南部や南西諸島では出現回数は増えると思われる。
テンヅマナミシャク,Telenomeuta punctimarginaria (Leech, 1891),"年2化、4月下旬-8月下旬",全国的に普通で、平地から山地まで広く産する。年2化と思われる。
チョウセンハガタナミシャク,Eulithis prunata (Linnaeus, 1758),不明,北海道では少なくないが、本州では静岡県大井川上流の2か所で採れているのみで、非常にまれ。
キジマソトグロナミシャク,Eulithis pyropata (Hübner, 1809),"年1化、7月",分布は局地的で個体数はきわめて少ない。
マダラウスナミシャク,Hydrelia bicauliata Prout, 1914,"2化性、5-7月",関東地方周辺では山地の高原地に多い。2化性と思われる。
キムジシロナミシャク,Asthena corculina Butler, 1878,"年2化、5-9月",全国的に分布し、平地から低山地で得られ普通。年2化と思われる。
クロテンヤスジカバナミシャク,Eupithecia interpunctaria Inoue, 1979,"年1化、8-10月",山地で8-10月に採れるが、多くない。おそらく年1化。
ホタカカバナミシャク,Eupithecia korbi Dietze, 1908,7-9月,日本からは長野県上高地岳沢で1959年7月に採れた1♂が知られているのみ。中国では8-9月に採集されている。
シロシタカバナミシャク,Eupithecia conterminata (Zeller, 1846),"年1化、6月",本州中部地方の高標高の山地で6月に採れているが、産地は限定され、非常にめずらしい。
オカモトトゲエダシャク,Apochima juglansiaria (Graeser, 1889),"年1化、2月下旬-5月上旬",年1化で早春に出現する。
クワトゲエダシャク,Apochima excavata (Dyar, 1905),"年1化、2月下旬-3月下旬",早春の蛾で、2月下旬-3月下旬に出現。
キイロトゲエダシャク,Apochima praeacutaria (Inoue, 1976),"年1化、1月下旬-3月下旬",早春の蛾で、2月下旬-3月下旬に出現するが、沖縄島では1月下旬から発生している。
