和名,学名,成虫時期,生態の備考
ミヤマクロオビナミシャク,Praethera anomala (Inoue, 1954),"年1化、7月中~下旬","前種に非常によく似ているが、内横線の内側と中央部が黒色となり、外横線の外側は灰色で斑紋は弱い。"
フタマタシロナミシャク,Asthena ochrifasciaria Leech, 1897,"年2化、5月中旬~6月、8~9月上旬","本州、四国、九州、対馬に分布する。関東地方周辺では低山地から山地まで産し、比較的普通に見られる。"
アトシロモンカバナミシャク,Axinoptera anticostalis Galsworthy, 1999,6~10月,"6~10月に採集されているが、産地が限られ、個体数も非常に少ない。"
ヒトスジチビナミシャク,Bosara kadooriensis Galsworthy, 2003,3月、7月、11~12月,"3月、7月、11~12月に採集されているが少ない。"
タケヒメカレハ,Euthrix laeta (Walker, 1855),"年1化、7~8月",年1化、7~8月に出現する。
シカタカレハ,Malacosoma dentatum Mell, 1938),"年1化、6月","年1化、6月に出現する。出現時期にはそれほどめずらしいものではないようである。"
サクサン,Antheraea pernyi (Guérin-Méneville, 1855),年2回,年2回発生し、蛹で越冬する。
アジアホソバスズメ,Ambulyx sericeipennis Butler, 1875,"年2化（北海道では年1化）、3~9月","3~9月に記録がある。年2化と思われるが、北海道では1化。"
ギンボシスズメ,Parum colligata (Walker, 1856),"年2化、6~9月","年2化、6~9月に出現する。南西諸島では多化性の可能性がある。"
ヒメスズメ,Deilephila askoldensis (Oberthür, 1879),"年1化、6~9月","年1化、6~9月に出現する。産地は極限され、火山性草原や河川敷などで見られる。"
モトグロシタベニススズメ,Hippotion echeclus (Boisduval, 1875),7月,"沖縄島で採集された1例しか記録がなく、偶産と考えられる。国外では7月に得られている。"
コシタベニスズメ,Hippotion boerhaviae (Fabricius, 1775),3月,西表島で3月に採集された個体のみが知られる。
マメシタベニスズメ,Hippotion rosetta Swinhoe, 1892,3~11月,3月から11月に採集されている。
オバナワスズメ,Hippotion velox (Fabricius, 1793),4~11月,4月から11月に採集されている。
ミドリスズメ,Pergesa actea (Cramer, 1779),3~10月,3月から10月に出現する。
オオシモフリエダシャク,Langia zenzeroides Moore, 1872,"年1化、3~4月","年1化、3~4月に出現する。幼虫、蛹、成虫ともに発音する。"
アサヒナオオエダシャク,Amraica asahinai (Inoue, 1964),"年2~3化、3月、6月、8月、12月","3月と8月を中心に多くの個体が採集されているが、徳之島では6月に、石垣島では12月にも得られており、年2~3化するものと思われる。♀が灯火に飛来することが少ないのは前種と同様。"
