和名,学名,成虫時期,生態の備考
ヤマトエダシャク,Peratostega deletaria (Moore, 1888),"年複数回、3-12月","本州〜九州では5-6月と7-8月、奄美大島〜西表島では3-4月、6-8月、12月に得られている。"
ウチムラサキヒメエダシャク,Ninodes splendens (Butler, 1878),"年2化、5-8月",年2化し5-6月と7-8月に出現し、蛹で越冬、各地に普通。
ワタナベヒメエダシャク,Ninodes watanabei Inoue, 1976,"3-6月","対馬では5-6月、沖縄島、西表島では3-4月に採集されている。産地は限られており個体数も少ない。"
ヘリオビエダシャク,Hydatocapnia gemina Yazaki, 1990,"1-9月","台湾では、1月から8月まで中部の低山帯に普通に産する。日本では9月27日に採集された1♀しか知られていない。"
ナミスジシロエダシャク,Orthocabera tinagmaria (Guenée, 1857),"年2-3化、4-9月","4-5月と7-9月に出現し、少なくとも年2化、場所によっては3化。沖縄島では5,6,8月に得られている。大分県では幼虫越冬が確認されている。"
キスジシロエダシャク,Orthocabera sericea Butler, 1878),"年2化、3-9月","5-6月と8-9月に出現する。屋久島では3月と8月に得られている。前種同様、日本海側ではブナ帯にも生息する。"
ホシスジシロエダシャク,Myrteta punctata (Warren, 1894),"年2化、6-9月","年2化し、6-7月と8-9月に出現する。"
クロミスジシロエダシャク,Myrteta angelica Butler, 1881),"年1-2化、6-12月","本州中部では、年1化で9-10月に出現するが、九州や屋久島では、9-11月のほかに6-8月にも少数ながら得られており、年2化するものと思われる。奄美群島以南亜種は、6月と11-12月、沖縄島で11-12月に得られている。"
ミスジシロエダシャク,Taeniophila unio (Oberthür, 1880),"年2化、6-9月",年2化し、6-7月と8-9月に出現する。各地に普通。
フタオビシロエダシャク,Lamprocabera candidaria (Leech, 1897),"年2化、5-8月","5-6月と7-8月に得られており、年2化と推定。個体数は少ない。"
マエキシロエダシャク,Lomographa inamata (Walker, 1861),"年複数回、3,6,8,9月","四国、九州では6-9月に出現。奄美大島では3,6,8月に得られている。"
クロズウスキエダシャク,Lomographa simplicior (Butler, 1881),"年1化、8月下旬-10月下旬","おそらく年1化、山地に普通。"
フタホシシロエダシャク,Lomographa bimaculata (Fabricius, 1775),"年2-3化、4-8月","4月から8月まで各月に採集されており、少なくとも年2化、暖地では3化。蛹で越冬、各地に普通。"
バラシロエダシャク,Lomographa temerata (Denis & Schiffermüller, 1775),"年2-3化、4-9月","4月から9月にかけて出現、地域によって年2-3化するのであろう。屋久島では3月から発生している。各地に多産する。"
ウスフタスジシロエダシャク,Lomographa subspersata (Wehrli, 1939),"年2化、4-8月","4-6月と7-8月に得られており、おそらく年2化。普通種。"
オオフタスジシロエダシャク,Lomographa claripennis Inoue, 1977),"年2化以上、3-8月","3-5月と7-8月に得られており、少なくとも年2化。"
ウスオビシロエダシャク,Lomographa nivea (Djakonov, 1936),"年1化、4-6月","4月から6月にかけて出現する。年1化と推定しているが詳細は不明。"
ミスジコナフエダシャク,Cabera insulata Inoue, 1958),"年2化、5-8月","中部地方では5-6月と7-8月に得られる。北海道では7-8月に1回だけ発生すると推定。各地に普通に産する。"
ヒラヤマシロエダシャク,Cabera schaefferi Bremer, 1864),"年1化、5-8月","本州中部で5-6月、北海道では7-8月に得られており、おそらく年1化。本属4種の中で最も個体数が少ない。"
コスジシロエダシャク,Cabera purus (Butler, 1878),"年2化、5-8月","5-6月と7-8月に得られており、年2化し、蛹越冬。各地に多産する。"
アトグロアミメエダシャク,Cabera griseolimbata (Oberthür, 1879),"年2化、5-8月","5-6月と7-8月に得られており、年2化する。普通種。"
フタスジウスキエダシャク,Parabapta aetheriata (Graeser, 1889),"年1化、5-7月","地域によってずれがあるが、5-7月に出現する。蛹で越冬する。"
イハラエダシャク,Parabapta iharai Yazaki, 1989),"年1化、5-6月",産地は限られており、個体数も少ない。
ウスアオエダシャク,Parabapta clarissa (Butler, 1878),"年1化、4-6月","年1化で蛹越冬。各地に普通に産する。"
フタスジオエダシャク,Rhynchobapta cervinaria (Moore, 1888),"年2化、5-9月","年2化し、5-6月と8-9月に出現する。蛹で越冬する。北海道ではきわめて少ない。"
シロミャクオエダシャク,Rhynchobapta eburnivena (Warren, 1896),年複数回、3-9月,周年経過は明確でないが、地域によって3月から9月まで採集報告がある。
マエキオエダシャク,Plesiomorpha flaviceps (Butler, 1881),"年複数回、4-9月","4月から9月にかけて出現、本州中部地方では年2化し、蛹で越冬。西表島では7月と10月に得られている。平地から山地まで普通に産する。"
モンオビオエダシャク,Plesiomorpha punctilinearia (Leech, 1891),"年2化、5-9月","5-6月と8-9月に出現し、年2化。蛹で越冬。普通種。"
ナカキエダシャク,Plagodis dolabraria (Linnaeus, 1767),"年2化、5-9月",年2化。関東地方周辺の山間部では5月下旬からあらわれるが、中部地方の山地では7月下旬-8月中旬に出現する。
コナフキエダシャク,Plagodis pulveraria (Linnaeus, 1758),"年1化または年2化、4-9月",年2化。関東地方周辺の低山地では4-6月と7-9月に出現し、蛹で越冬する。本州中部の高山では年1化であろう。
リョクモンエダシャク,Celenna festivaria (Fabricius, 1794),年複数回,ほぼ通年,ほぼ通年採集されており、年に何回か発生するのであろう。
フタテンエダシャク,Seleniopsis evanescens (Butler, 1881),年3回,5-10月,"年3化し成虫越冬と推定されている。"
